Tag,EnglishName,EnglishText,GermanName,GermanText
Defibrillator,Defibrillator,"commonly used in life-threatening situations such as cardiac arrhythmias or tachycardia, defibrillators restore normal rhythm to the heart. ",der Defibrillator,"Defibrillatoren werden in der Regel in lebensbedrohlichen Situationen eingesetzt, z. B. bei Herzrhythmusstörungen oder Tachykardie, und stellen den normalen Rhythmus des Herzens wieder her."
PatientMonitors,Patient Monitors,patient monitors are standard pieces of medical equipment that keep accurate track of a patient’s condition and state of health during and after surgery.,"der Patientenmonitor, pl. die Patientenmonitore","Patientenmonitore sind medizinische Standardgeräte, die den Zustand und die Gesundheit eines Patienten oder einer Patientin genau überwachen."
HospitalBed,Hospital Bed,"the most critical piece of hospital furniture, where a patient resides before or after a medical or surgical procedure, during a workup or whilst convalescing or awaiting transfer or discharge.",das Krankenhausbett,"Das wichtigste Möbelstück im Krankenhaus, in dem sich ein Patient oder eine Patientin vor oder nach einem medizinischen oder chirurgischen Eingriff, während einer Untersuchung oder während der Rekonvaleszenz oder bis zur Verlegung oder Entlassung aufhält."
Trapeze,Trapeze,"a trapeze bar will enable the patient to change position, exercise or assist the patient in moving in or out of bed.",das Trapez / der Aufrichter,"Ein Aufrichter ermöglicht es dem Patientem, seine Position zu verändern, sich zu bewegen oder ihm beim Ein- und Aussteigen aus dem Bett zu helfen."
OverbedTable,Overbed Table,a narrow rectangular table designed especially for hospital patients that spans the bed and is typically fitted with casters and a crank for adjusting the height and tilting the top,der Betttisch,"Ein schmaler, rechteckiger Tisch, der speziell für Krankenhauspatienten entwickelt wurde, das Bett überspannt und in der Regel mit Rollen und einer Kurbel zum Verstellen der Höhe und Kippen der Platte ausgestattet ist"
BedsideTable,Bedside Table,a small table that is kept at the side of a bed,der Nachttisch,"Ein kleiner Tisch, der sich an der Seite eines Bettes befindet"
Wheelchair,Wheelchair,"a chair with wheels, used for moving from place to place by disabled or those who cannot walk.",der Rollstuhl,"Ein Stuhl mit Rädern, mit dem sich Menschen, die nicht gehen können oder sollen, von Ort zu Ort bewegen können."
ElectronicRecord,Electronic Bedside Patient Record  / Electronic medical record,digital version of the patient chart having information stored on the computer system. ,Elektronische Patientenakte am Bett / Elektronische Krankenakte,Digitale Version der Patientenkartei mit im Computersystem gespeicherten Informationen.
Ambu,Bag Valve Mask (Ambu Bag),a handheld device used in emergency situations for patients who are not breathing (respiratory arrest) or who are not breathing adequately (respiratory failure). ,der Beatmungsbeutel mit Ventil (Ambu-Beutel),"Ein tragbares Gerät, das in Notfallsituationen bei Patienten eingesetzt wird, die nicht mehr atmen (Atemstillstand) oder die nicht mehr ausreichend atmen (Atemversagen)."
OxygenMask,Oxygen Mask,a masklike device placed over the mouth and nose and through which oxygen is supplied from an attached storage tank.,die Sauerstoffmaske,"Eine maskenähnliche Vorrichtung, die über Mund und Nase gezogen wird und durch die der Sauerstoff aus einem angeschlossenen Sauerstofftank zugeführt wird."
OxygenTank,Oxygen Tank,"an oxygen tank is an oxygen storage vessel, which is either held under pressure in gas cylinders, or as liquid oxygen in a cryogenic storage tank.",der Sauerstofftank,"Ein Sauerstofftank ist ein Sauerstoffspeicher, der entweder unter Druck in Gasflaschen oder als flüssiger Sauerstoff in einem kryogenen Speichertank aufbewahrt wird."
EKG,EKG/ECG machines,electrocardiogram (EKG or ECG) machines record the electrical activity of the heart over a period of time and allow health care providers to monitor the overall rhythm of the heart and identify any abnormalities in an individual.,EKG-Geräte,"Elektrokardiogramm-Geräte (EKG) zeichnen die elektrische Aktivität des Herzens über einen bestimmten Zeitraum auf und ermöglichen es den Ärzten, den Gesamtrhythmus des Herzens zu überwachen und etwaige Anomalien bei einer Person zu erkennen."
IVPole,IV Pole,Intravenous poles or more commonly known as IV poles are iron rod stands having a pair of hooks at the top and a weighted rolling base with 4-5 wheels at the bottom of it. The hooks are used to hang bags of fluids and other life-saving drugs that are being transmitted to the patients as a part of their treatment procedure.,IV Pole,"IIV-Stangen sind Eisenstangen, die oben ein Paar Haken und unten eine beschwerte Rollbasis mit 4-5 Rädern haben. An den Haken werden Beutel mit Flüssigkeiten und benötigten Medikamenten aufgehängt, die den Patienten im Rahmen ihrer Behandlung verabreicht werden."
RespiratoryRate,Respiratory Rate,the respiratory rate is the rate at which breathing occurs. This is usually measured in breaths per minute and is set and controlled by the respiratory centre.,die Atemfrequenz,Die Atemfrequenz ist die Geschwindigkeit der Atmung. Sie wird normalerweise in Atemzügen pro Minute gemessen und vom Atemzentrum im Gehirn des Menschen gesteuert.
AbnormalRespitory,Abnormal respitory rates,"Apnea
Dyspnea
Hyperpnea
Tachypnea
Hypopnea
Bradypnea
Orthopnea
Platypnea
Biot's respiration
Cheyne-Stokes respiration
Kussmaul breathing",Abnorme Atemfrequenz,"Apnoe
Dyspnoe
Hyperpnoe
Tachypnoe
Hypopnoe
Bradypnoe
Orthopnoe
Platypnoe
Biot-Atmung
Cheyne-Stokes-Atmung
Kussmaul-Atmung"
OtherRespiratory,Other respiratory conditions,"stridor
nasal flaring
audible breathing
breathlessness 
fine crackels
wheezes pursed-lip breathing",Andere Atmungsabnormitäten,"Stridor
Nasenbläschen
hörbare Atmung
Kurzatmigkeit 
feines Knistern
Keuchen Atmen mit zusammengekniffenen Lippen"
Clouding,Clouding of consciousness,is a very mild form of altered mental status in which the patient has inattention and reduced wakefulness.,Bewusstseintrübung,"ist eine sehr milde Form des veränderten mentalen Status, bei der der Patient unaufmerksam und weniger wach ist."
Confusional ,Confusional state ,"is a more profound deficit that includes disorientation, bewilderment, and difficulty following commands.",Verwirrender Zustand ,"ist ein tiefgreifenderes Defizit, das Desorientierung, Verwirrung und Schwierigkeiten beim Befolgen von Befehlen beinhaltet."
Delirium,Delirium,is a state of mental confusion that develops quickly and usually fluctuates in intensity.,Delirium,"ist ein Zustand geistiger Verwirrung, der sich schnell entwickelt und normalerweise in seiner Intensität schwankt."
Lethargy,Lethargy,consists of severe drowsiness in which the patient can be aroused by moderate stimuli and then drift back to sleep.,Lethargie,"besteht in einer schweren Schläfrigkeit, bei der der Patient durch leichte Reize geweckt werden kann und dann wieder in den Schlaf fällt."
Obtundation,Obtundation,"is a state similar to lethargy in which the patient has a lessened interest in the environment, slowed responses to stimulation, and tends to sleep more than normal with drowsiness in between sleep states.",Obtundation,"ist ein Zustand, der der Lethargie ähnelt, bei dem der Patient ein vermindertes Interesse an der Umwelt zeigt, langsamer auf Reize reagiert und dazu neigt, mehr als normal zu schlafen, mit Schläfrigkeit zwischen den Schlafphasen."
Stupor,Stupor,"means that only vigorous and repeated stimuli will arouse the individual, and when left undisturbed, the patient will immediately lapse back to the unresponsive state.",Stupor,"bedeutet, dass die Person nur durch starke und wiederholte Reize geweckt werden kann, und dass der Patient, wenn er nicht gestört wird, sofort wieder in den nicht ansprechbaren Zustand zurückfällt."
Coma,Coma,is a state of unarousable unresponsiveness.,Koma,"ist ein Zustand, in dem man nicht ansprechbar ist."